set_num;name;year;theme_id;theme_name;num_parts;img_url;Price
71429-1;Nabbit at Toad's Shop;2024;690;Super Mario;230;https://cdn.rebrickable.com/media/sets/71429-1.jpg;19.99
71806-1;Cole's Earth Mech;2024;435;Ninjago;235;https://cdn.rebrickable.com/media/sets/71806-1.jpg;19.99
60430-1;Interstellar Spaceship;2024;52;City;240;https://cdn.rebrickable.com/media/sets/60430-1.jpg;19.99
31147-1;Retro Camera;2024;672;Creator 3-in-1;261;https://cdn.rebrickable.com/media/sets/31147-1.jpg;19.99
31146-1;Flatbed Truck with Helicopter;2024;672;Creator 3-in-1;270;https://cdn.rebrickable.com/media/sets/31146-1.jpg;19.99
40672-1;Sonic the Hedgehog: Knuckles & Shadow;2024;610;Brickheadz;298;https://cdn.rebrickable.com/media/sets/40672-1.jpg;19.99
76425-1;Hedwig at 4 Privet Drive;2024;246;Harry Potter;337;https://cdn.rebrickable.com/media/sets/76425-1.jpg;19.99
31157-1;Exotic Peacock;2024;672;Creator 3-in-1;355;https://cdn.rebrickable.com/media/sets/31157-1.jpg;19.99
42639-1;Andrea's Modern Mansion;2024;494;Friends;2275;https://cdn.rebrickable.com/media/sets/42639-1.jpg;199.99
42171-1;Mercedes-AMG F1 W14 E Performance;2024;1;Technic;1642;https://cdn.rebrickable.com/media/sets/42171-1.jpg;219.99
43242-1;Snow White and the Seven Dwarfs' Cottage;2024;608;Disney;2228;https://cdn.rebrickable.com/media/sets/43242-1.jpg;219.99
10332-1;Medieval Town Square;2024;721;Icons;3304;https://cdn.rebrickable.com/media/sets/10332-1.jpg;229.99
40714-1;Carousel Ride;2024;301;Other;232;https://cdn.rebrickable.com/media/sets/40714-1.jpg;24.95
21254-1;The Turtle Beach House;2024;577;Minecraft;234;https://cdn.rebrickable.com/media/sets/21254-1.jpg;26.99
42165-1;Mercedes-AMG F1 W14 Pull-Back;2024;1;Technic;240;https://cdn.rebrickable.com/media/sets/42165-1.jpg;26.99
76919-1;2023 McLaren Formula 1 Car;2024;601;Speed Champions;245;https://cdn.rebrickable.com/media/sets/76919-1.jpg;26.99
42166-1;NEOM McLaren Extreme E Race Car;2024;1;Technic;252;https://cdn.rebrickable.com/media/sets/42166-1.jpg;26.99
76921-1;Audi S1 e-tron quattro Race Car;2024;601;Speed Champions;274;https://cdn.rebrickable.com/media/sets/76921-1.jpg;26.99
76920-1;Ford Mustang Dark Horse Sports Car;2024;601;Speed Champions;344;https://cdn.rebrickable.com/media/sets/76920-1.jpg;26.99
40678-1;Festival Calendar;2024;206;Seasonal;345;https://cdn.rebrickable.com/media/sets/40678-1.jpg;29.94
10415-1;Big Feelings & Emotions;2024;504;Duplo;23;https://cdn.rebrickable.com/media/sets/10415-1.jpg;29.99
10414-1;Daily Routines: Eating & Bedtime;2024;504;Duplo;28;https://cdn.rebrickable.com/media/sets/10414-1.jpg;29.99
10418-1;Elsa & Bruni in the Enchanted Forest;2024;640;Disney Princess;31;https://cdn.rebrickable.com/media/sets/10418-1.jpg;29.99
42632-1;Farm Animal Vet Clinic;2024;494;Friends;170;https://cdn.rebrickable.com/media/sets/42632-1.jpg;29.99
76432-1;Forbidden Forest: Magical Creatures;2024;246;Harry Potter;172;https://cdn.rebrickable.com/media/sets/76432-1.jpg;29.99
75372-1;Clone Trooper & Battle Droid Battle Pack;2024;158;Star Wars;215;https://cdn.rebrickable.com/media/sets/75372-1.jpg;29.99
