inventory_id;version;set_num;name;year;theme_id;theme_name;num_parts;img_url;price
206741;2;31088-1;Deep Sea Creatures;2019;672;Creator 3-in-1;230;https://cdn.rebrickable.com/media/sets/31088-1.jpg;14.99
147060;1;21335-1;Motorized Lighthouse;2022;576;LEGO Ideas and CUUSOO;2065;https://cdn.rebrickable.com/media/sets/21335-1.jpg;299.99
189410;2;31124-1;Super Robot;2022;672;Creator 3-in-1;159;https://cdn.rebrickable.com/media/sets/31124-1.jpg;9.99
149087;1;76215-1;Black Panther;2022;696;Super Heroes Marvel;2961;https://cdn.rebrickable.com/media/sets/76215-1.jpg;349.99
150219;1;80110-1;Lunar New Year Display;2023;686;Chinese Traditional Festivals;872;https://cdn.rebrickable.com/media/sets/80110-1.jpg;89.99
150220;1;80111-1;Lunar New Year Parade;2022;686;Chinese Traditional Festivals;1655;https://cdn.rebrickable.com/media/sets/80111-1.jpg;129.99
150221;1;43210-1;Moana's Wayfinding Boat;2023;579;Disney Princess;321;https://cdn.rebrickable.com/media/sets/43210-1.jpg;34.99
150222;1;43211-1;Aurora's Castle;2023;579;Disney Princess;187;https://cdn.rebrickable.com/media/sets/43211-1.jpg;44.99
150223;1;43212-1;Disney Celebration Train;2023;608;Disney;200;https://cdn.rebrickable.com/media/sets/43212-1.jpg;39.99
150224;1;43213-1;Little Mermaid Story Book;2023;608;Disney;134;https://cdn.rebrickable.com/media/sets/43213-1.jpg;19.99
150225;1;43214-1;Twirling Rapunzel;2023;579;Disney Princess;89;https://cdn.rebrickable.com/media/sets/43214-1.jpg;9.99
150226;1;43216-1;Princess Enchanted Journey;2023;579;Disney Princess;320;https://cdn.rebrickable.com/media/sets/43216-1.jpg;64.99
150227;1;43217-1;'Up' House​;2023;608;Disney;598;https://cdn.rebrickable.com/media/sets/43217-1.jpg;59.99
150228;1;43219-1;Disney Princess Creative Castles​;2023;579;Disney Princess;140;https://cdn.rebrickable.com/media/sets/43219-1.jpg;34.99
150230;1;43220-1;Peter Pan & Wendy's Storybook Adventure;2023;608;Disney;111;https://cdn.rebrickable.com/media/sets/43220-1.jpg;19.99
150231;1;60356-1;Bear Stunt Bike;2023;744;Stuntz;10;https://cdn.rebrickable.com/media/sets/60356-1.jpg;7.99
150232;1;60357-1;Stunt Truck & Ring of Fire Challenge;2023;744;Stuntz;479;https://cdn.rebrickable.com/media/sets/60357-1.jpg;59.99
150233;1;60358-1;Cyber Stunt Bike;2023;744;Stuntz;13;https://cdn.rebrickable.com/media/sets/60358-1.jpg;7.99
150234;1;60359-1;Dunk Stunt Ramp Challenge;2023;744;Stuntz;144;https://cdn.rebrickable.com/media/sets/60359-1.jpg;29.99
150235;1;60360-1;Spinning Stunt Challenge;2023;744;Stuntz;117;https://cdn.rebrickable.com/media/sets/60360-1.jpg;39.99
150236;1;60361-1;Ultimate Stunt Riders Challenge;2023;744;Stuntz;385;https://cdn.rebrickable.com/media/sets/60361-1.jpg;99.99
150237;1;60369-1;Mobile Police Dog Training;2023;61;Police;197;https://cdn.rebrickable.com/media/sets/60369-1.jpg;29.99
150238;1;60370-1;Police Station Chase;2023;61;Police;173;https://cdn.rebrickable.com/media/sets/60370-1.jpg;39.99
150240;1;60372-1;Police Training Academy;2023;61;Police;823;https://cdn.rebrickable.com/media/sets/60372-1.jpg;99.99
150241;1;60373-1;Fire Rescue Boat;2023;58;Fire;147;https://cdn.rebrickable.com/media/sets/60373-1.jpg;29.99
150242;1;60374-1;Fire Command Truck;2023;58;Fire;502;https://cdn.rebrickable.com/media/sets/60374-1.jpg;64.99
150243;1;60375-1;Fire Station and Fire Truck;2023;58;Fire;153;https://cdn.rebrickable.com/media/sets/60375-1.jpg;39.99
150244;1;60382-1;Vet Van Rescue;2023;52;City;58;https://cdn.rebrickable.com/media/sets/60382-1.jpg;9.99
150245;1;60383-1;Electric Sports Car;2023;63;Traffic;95;https://cdn.rebrickable.com/media/sets/60383-1.jpg;9.99
150246;1;60384-1;Penguin Slushy Van;2023;52;City;194;https://cdn.rebrickable.com/media/sets/60384-1.jpg;19.99
150248;1;60386-1;Recycling Truck;2023;52;City;261;https://cdn.rebrickable.com/media/sets/60386-1.jpg;29.99
150249;1;60387-1;4x4 Off-Roader Adventures;2023;64;Off-Road;252;https://cdn.rebrickable.com/media/sets/60387-1.jpg;29.99
150250;1;60388-1;Gaming Tournament Truck;2023;52;City;344;https://cdn.rebrickable.com/media/sets/60388-1.jpg;39.99
150253;1;60392-1;Police Bike Car Chase;2023;61;Police;59;https://cdn.rebrickable.com/media/sets/60392-1.jpg;9.99
150255;1;75344-1;Boba Fett's Starship Microfighter;2023;158;Star Wars;85;https://cdn.rebrickable.com/media/sets/75344-1.jpg;9.99
150256;1;75345-1;501st Clone Troopers Battle Pack;2023;158;Star Wars;121;https://cdn.rebrickable.com/media/sets/75345-1.jpg;19.99
150257;1;75346-1;Pirate Snub Fighter;2023;158;Star Wars;285;https://cdn.rebrickable.com/media/sets/75346-1.jpg;34.99
150258;1;75347-1;TIE Bomber;2023;158;Star Wars;625;https://cdn.rebrickable.com/media/sets/75347-1.jpg;64.99
150259;1;75348-1;Mandalorian Fang Fighter vs. TIE Interceptor;2023;158;Star Wars;964;https://cdn.rebrickable.com/media/sets/75348-1.jpg;99.99
150260;1;75349-1;Captain Rex Helmet;2023;158;Star Wars;854;https://cdn.rebrickable.com/media/sets/75349-1.jpg;69.99
150261;1;75350-1;Clone Commander Cody Helmet;2023;158;Star Wars;766;https://cdn.rebrickable.com/media/sets/75350-1.jpg;69.99
