part_num;Name;Serial;Price;element_id;design_id;color_id
50340;PLATE 1X2 W/FORK, VERTICAL;6342558/50340;$0.13;6342558;50340;72
32828;PLATE 1X1 ROUND W/ HORIZONTAL 3.2 SHAFT;6333124/32828;$0.07;6333124;32828;3
74764pr0001;PENGUIN, NO. 7;6330446/74764;$4.11;6330446;74764;15
14721;PLATE 4X4;6327077/14721;$1.36;6327077;14721;27
71682;PANEL 2X3X1, NO. 1;6321713/71682;$0.46;6321713;71682;71
1410pr0001;PIG, NO. 11;6319751/70085;$0.77;6319751;70085;29
1413pr0001;CHICKEN, NO. 5;6319680/69977;$3.02;6319680;69977;484
3626cpr3770;MINI HEAD, NO. 3770;6319672/69972;$0.26;6319672;69972;14
3010;BRICK 1X4;6310856/3010;$0.16;6310856;3010;10
2357;BRICK CORNER 1X2X2;6310201/2357;$0.15;6310201;2357;30
2723pr0007;DISK, DIA. 24, NO. 5;6299719/67789;$1.15;6299719;67789;71
1762;DESIGN ELEMENT 2X2X2/3, NO. 2;6296704/67412;$1.17;6296704;67412;80
19039;DEER MALE, NO. 2;6296661/67406;$6.71;6296661;67406;484
98223;BRICK 2X4 W. BOWS;6294207/98223;$1.09;6294207;98223;158
32200;FLEX ROD 12M;6296597/32200;$0.73;6296597;32200;4
98129;VISOR, NO. 18;6292976/65033;$0.43;6292976;65033;297
25059;RAIL 2X16, W/ 3.2 SHAFT;6287323/25059;$1.35;6287323;25059;1103
52979;Dome ø47.84 w. combi hinge;6266305/52979;$1.73;6266305;52979;41
87087;BRICK 1X1 W. 1 KNOB;6267189/87087;$0.08;6267189;87087;26
26601;PLATE 2X2, CORNER, 45 DEG.;6228995/26601;$0.06;6228995;26601;27
53029;BRICK 2X2 FRIC/FORK VERT./END;6263491/53029;$0.31;6263491;53029;0
41740;PLATE 1X4, W/ 2 KNOBS, NO. 2;6257605/41740;$0.07;6257605;41740;84
64727;DORSAL FIN Ø3.2 MM;6177520/64727;$0.13;6177520;64727;272
22888;1/2 CIRCLE PLATE 4X8;6249404/22888;$0.35;6249404;22888;226
3710;PLATE 1X4;6186030/3710;$0.10;6186030;3710;326
3022;PLATE 2X2;6099373/3022;$0.09;6099373;3022;212
3039;ROOF TILE 2X2/45°;6083972/3039;$0.12;6083972;3039;378
32016;ANGLE ELEMENT, 157,5 DEGR. [3];6261397/42128;$0.13;6261397;42128;1
92438;PLATE 8X16;6013675/92438;$2.13;6013675;92438;4
1927;HINGE PLATE 1X2, NO. 2;6416505/1927;$0.27;6416505;1927;1
65633;WINDSCREEN 6X6X1,1/3;6435853/2683;$1.40;6435853;2683;40
72132;PLATE 2X6X2/3 W 4 HOR. KNOB;6430550/72132;$0.31;6430550;72132;71
14769pr1230;FLAT TILE 2X2, ROUND, NO. 1230;6430760/102476;$0.19;6430760;102476;15
72132;PLATE 2X6X2/3 W 4 HOR. KNOB;6430548/72132;$0.31;6430548;72132;15
79782;BOAT 8X8, TOP;6428861/79782;$2.84;6428861;79782;4
79782;BOAT 8X8, TOP;6428860/79782;$2.84;6428860;79782;14
79782;BOAT 8X8, TOP;6428859/79782;$2.84;6428859;79782;322
95270;LID ½ FOR FRAME 1X4X3;6428821/95270;$0.14;6428821;95270;28
95270;LID ½ FOR FRAME 1X4X3;6428819/95270;$0.14;6428819;95270;72
70490;TYRE TRUCK, NARROW, DIA. 49.5X14, NO. 1;6424619/70490;$1.94;6424619;70490;0
67142;LEFT PANEL CURVED 5X13X2, NO. 1;6421548/1984;$2.40;6421548;1984;4
35477;DESIGN BRICK 1X3X1 1/3;6415053/35477;$0.99;6415053;35477;70
2277c01pr0015;PANTS, W/ HIP, NO. 15;6414568/100945;$1.76;6414568;100945;379
2277c01pr0005;PANTS, W/ HIP, NO. 11;6414512/2277;$0.82;6414512;2277;28
15503;MINI WIG NO. 68;6407053/86223;$0.85;6407053;86223;72
26603;FLAT TILE 2X3;6406357/26603;$0.10;6406357;26603;10
79393;TILE 3X3, W/ BOW;6406233/79393;$0.32;6406233;79393;10
2241c01pr0025;SKIRT, W/ HIP, NO. 38;6413997/2241;$1.93;6413997;2241;321
59900;NOSE CONE SMALL 1X1;6404754/59900;$0.06;6404754;59900;321
25405;MINI WIG, NO. 145;6413618/25405;$1.23;6413618;25405;179
15573;PLATE 1X2, W/ 1 KNOB;6404033/15573;$0.10;6404033;15573;308
37703;MINI WIG, NO. 215;6403825/86337;$0.81;6403825;86337;226
88738;UPPER PART FOR TURNTABLE Z60, NO. 2;6413529/88738;$1.05;6413529;88738;0
16178pr0002;MINI HAT NO. 14 WITH HAIR;6403385/90809;$1.56;6403385;90809;0
73568;BOX 4X4X3;6408722/73568;$3.76;6408722;73568;27
38800;MINI WIG, NO. 224;6408120/86370;$0.80;6408120;86370;71
30191;STRAP 12 M;6400538/18390;$1.88;6400538;18390;71
1762;DESIGN ELEMENT 2X2X2/3, NO. 1;6400434/1762;$0.22;6400434;1762;191
20952;MINI HAT, NO. 8;6400309/37840;$0.10;6400309;37840;378
2654;SLIDE SHOE ROUND 2X2;6400307/2654;$0.08;6400307;2654;379
27263;TILE 2X2, DEG. 90, W/ DEG. 45 CUT;6398674/27263;$0.09;6398674;27263;379
80431;BRICK 1X2X4/3 W/ CLICK, NO. 1;6398662/80431;$0.63;6398662;80431;72
33909;PLATE 2X2, W/ REDUCED KNOBS;6398673/33909;$0.06;6398673;33909;379
3030;PLATE 4X10;6398657/3030;$0.55;6398657;3030;2
30367c;FINAL BRICK 2X2;6398492/30367;$0.13;6398492;30367;10
21560;SHOULDER SHELL W.3.20 CONNECTOR;6398491/21560;$0.31;6398491;21560;31
43898;PARABOLIC REFLECTOR Ø24X6,4;6398490/43898;$0.17;6398490;43898;1050
22388;PYRAMID RIDGED TILE 1X1X2/3;6398466/35344;$0.07;6398466;35344;320
3037;ROOF TILE 2X4/45°;6398465/3037;$0.17;6398465;3037;326
65579;MINI WIG, NO. 279;6397187/65579;$0.42;6397187;65579;0
11089;CLAW 1X4X1 W/ Ø3.2 SHAFT;6398464/11089;$0.29;6398464;11089;378
78257;PLATE 1X1 W/ 2 SHAFTS DIA. 3.2;6398391/78257;$0.16;6398391;78257;0
16925c01pr0009;PANTS W/ HIP, NO. 2;6398363/35584;$2.40;6398363;35584;272
48729b;STICK Ø 3.2 W. HOLDER;6398319/41005;$0.07;6398319;41005;4
43898;PARABOLIC REFLECTOR Ø24X6,4;6398231/35268;$0.19;6398231;35268;33
4740;PARABOLIC ELEMENT Ø16;6398233/35395;$0.09;6398233;35395;33
93604;PLATE W. BOW 3X4X2/3 W. KNOBS;6397593/93604;$0.25;6397593;93604;14
49097;MUDGUARD,2 1/2X3X1 1/3 KNOB,TUBE,NO. 1;6397562/49097;$0.24;6397562;49097;19
68568;PLATE 3X3, 1/4 CIRCLE, W/ CUT OUT;6397561/68568;$0.22;6397561;68568;19
77107;CIRCLE BEAM 11X11, W/ CROSS HOLE, NO. 1;6396109/77107;$1.65;6396109;77107;15
59349;WALL ELEMENT 1x6x5, ABS;6396107/59349;$0.60;6396107;59349;212
3960;ROUND PLATE Ø32X6.4;6396059/3960;$0.27;6396059;3960;322
24482;BLADE NO. 9;6396057/24482;$0.14;6396057;24482;212
18677;PLATE 1x2 W. HORIZONTAL HOLE Ø4,85 REV.;6396058/28809;$0.07;6396058;28809;72
79741;FORK, NO. 1;6395857/79741;$0.09;6395857;79741;15
3041;RIDGED TILE 2X4/45°;6395798/3041;$0.34;6395798;3041;379
53586;Fric. element, cylinder;6395637/65443;$1.17;6395637;65443;179
48267;BION. EYE;6395623/48267;$0.13;6395623;48267;29
50955;LEFT SHELL 3x10;6392971/50955;$0.72;6392971;50955;288
50956;RIGHT SHELL 3x10;6392970/50956;$0.66;6392970;50956;288
15571;END RIDGED TILE 1X2/45°;6392959/15571;$0.09;6392959;15571;379
70943c01;RIGHT LEG, W/ KNOBS;6395101/70943;$3.93;6395101;70943;14
70946c01;LEFT LEG, W/ KNOBS;6395100/70946;$3.94;6395100;70946;14
69729;TILE 2X6;6392888/69729;$0.21;6392888;69729;27
35789;MUDGUARD 2X4X2, NO. 1;6392884/35789;$0.36;6392884;35789;27
79850;SPHERE 4X4, W/ KNOB;6395096/79850;$0.50;6395096;79850;14
99563;GOLD INGOT;6394865/99563;$0.05;6394865;99563;85
78443;LEFT PLATE, 2X6, DEG. 9;6392747/78443;$0.25;6392747;78443;15
78444;RIGHT PLATE, 2X6, DEG. 9;6392746/78444;$0.25;6392746;78444;15
79194;3.2 SHAFT W/ KNOB;6392597/79194;$0.13;6392597;79194;72
70681;BRICK 1X3,OUTSIDE HALF ARCH,W/ CUTOUT;6392576/70681;$0.16;6392576;70681;212
65138;SPHERE 4X4, W/ KNOBS;6392550/65138;$0.32;6392550;65138;320
41751;SHELL 6X8X2 W/BOW/ANGLE;6392976/40995;$1.34;6392976;40995;288
11289;COCKPIT 4X4X4 2/3 W. Ø3.2 SHAFT;6392972/63791;$0.87;6392972;63791;288
14769pr1725;FLAT TILE 2X2,ROUND,W/ STICKER,NO. 150;6392544/1725;$1.01;6392544;1725;297
61408;2X1X3 STEERING KNUCKLE ARM;6391883/61408;$0.25;6391883;61408;25
24119;BOWED PANEL 3X7X2 W/ 4.85 HOLE;6391882/24119;$0.62;6391882;24119;1
37352;BRICK 1X2, OUTSIDE HALF BOW;6391523/37352;$0.10;6391523;37352;19
22961;BEAM 1M W/CROSS AXLE;6391881/22961;$0.13;6391881;22961;25
3678b;ROOF TILE 2X2X2/65 DEG.;6391522/3678;$0.19;6391522;3678;19
30987;WALL 2X2X5, 1/4 CIRCLE, W/ CUTOUT;6391500/30987;$0.38;6391500;30987;71
15534;3-HOOK W. ANGLE SHAFT Ø3.2;6391135/15534;$0.22;6391135;15534;179
4081b;LAMP HOLDER;6391133/41632;$0.10;6391133;41632;378
6266;SKELETON LEG;6391121/31733;$0.16;6391121;31733;4
76371;DUPLO BRICK 1X2X2;6390756/76371;$0.74;6390756;76371;84
64179;BEAM FRAME 5X7 Ø 4.85;6390599/64179;$0.89;6390599;64179;25
