Name;Pieces;;Price;
Dinosaur Fossils: T. rex Skull;575;Dinosaur Fossils: T. rex Skull-575;39.99;
Hocus Pocus;2316;Hocus Pocus-2316;229.99;
Fire Helicopter;53;Fire Helicopter-53;9.99;
Bath Time Fun: Floating Red Panda;5;Bath Time Fun: Floating Red Panda-5;9.99;
Snowtrooper Battle Pack;105;Snowtrooper Battle Pack-105;19.99;
Christmas Ornament Santa;44;Christmas Ornament Santa-44;7.99;
Remote Control;1;Remote Control-1;22.99;
Color & Distance Sensor;1;Color & Distance Sensor-1;13.99;
Toyota GR Supra;306;Toyota GR Supra-306;19.99;
Hogwarts: Polyjuice Potion Mistake;215;Hogwarts: Polyjuice Potion Mistake-215;19.99;
The Coral Reef;92;The Coral Reef-92;9.99;
Snowman & Reindeer Duo;126;Snowman & Reindeer Duo-126;9.99;
Bulldozer;10;Bulldozer-10;9.99;
Birthday Set;141;Birthday Set-141;12.99;
Tuk Tuk;155;Tuk Tuk-155;9.99;
Woody and Bo Peep;296;Woody and Bo Peep-296;19.99;
Year of the Pig;153;Year of the Pig-153;9.99;
Train Tracks;23;Train Tracks-23;19.99;
Valentine Lovebirds;298;Valentine Lovebirds-298;12.99;
Easter Rabbits Display;288;Easter Rabbits Display-288;12.99;
Princess Market Adventure;821;Princess Market Adventure-821;99.99;
Hot Rod;142;Hot Rod-142;12.99;
Chicken Skater Pod;37;Chicken Skater Pod-37;6.99;
Christmas Train Ride;169;Christmas Train Ride-169;9.99;
Wrecking Ball;227;Wrecking Ball-227;19.99;
Halloween Hayride;148;Halloween Hayride-148;12.99;
Pumpkin & Bat Duo;133;Pumpkin & Bat Duo-133;9.99;
Elsa and the Nokk Storybook Adventures;125;Elsa and the Nokk Storybook Adventures-125;19.99;
Animal Train;15;Animal Train-15;19.99;
Koenigsegg Jesko;287;Koenigsegg Jesko-287;19.99;
Olivia's Electric Car;183;Olivia's Electric Car-183;14.99;
Spider & Haunted House Pack;132;Spider & Haunted House Pack-132;9.99;
Forest Waterfall;93;Forest Waterfall-93;9.99;
Polar Bear & Gift Pack;142;Polar Bear & Gift Pack-142;9.99;
Jay's Thunder Dragon EVO;140;Jay's Thunder Dragon EVO-140;19.99;
Lots of DOTS – Lettering;722;Lots of DOTS – Lettering-722;19.99;
Bricks and Functions;500;Bricks and Functions-500;29.99;
Pteranodon Chase;94;Pteranodon Chase-94;19.99;
Zurg Battle;261;Zurg Battle-261;34.99;
Buzz Lightyear's Planetary Mission;37;Buzz Lightyear's Planetary Mission-37;29.99;
Attack on New Asgard;159;Attack on New Asgard-159;19.99;
Jay's Golden Dragon Motorbike;148;Jay's Golden Dragon Motorbike-148;19.99;
Big Box;479;Big Box-479;34.99;
Bathtub Stunt Bike;14;Bathtub Stunt Bike-14;7.99;
Paris Postcard;213;Paris Postcard-213;14.99;
Dobby the House Elf;403;Dobby the House Elf-403;34.99;
Beijing Postcard;276;Beijing Postcard-276;14.99;
Lloyd's Mech Battle EVO;234;Lloyd's Mech Battle EVO-234;19.99;
Thanos Mech Armor;113;Thanos Mech Armor-113;14.99;
Mobile Bubble Tea Shop;109;Mobile Bubble Tea Shop-109;9.99;
Bear Stunt Bike;10;Bear Stunt Bike-10;7.99;
Cyber Stunt Bike;13;Cyber Stunt Bike-13;7.99;
Gryffindor House Banner;285;Gryffindor House Banner-285;34.99;
Hogwarts Accessories Pack;224;Hogwarts Accessories Pack-224;14.99;
Nya's Dragon Power Spinjitzu Drift;57;Nya's Dragon Power Spinjitzu Drift-57;10.99;
Kai’s Dragon Power Spinjitzu Flip;72;Kai’s Dragon Power Spinjitzu Flip-72;10.99;
Lloyd's Dragon Power Spinjitzu Spin;56;Lloyd's Dragon Power Spinjitzu Spin-56;10.99;
Halloween Cat & Mouse;328;Halloween Cat & Mouse-328;12.99;
Donkey Kong's Tree House;555;Donkey Kong's Tree House-555;59.99;
Up-Scaled LEGO Minifigure;654;Up-Scaled LEGO Minifigure-654;49.99;
Clone Trooper & Battle Droid Battle Pack;215;Clone Trooper & Battle Droid Battle Pack-215;29.99;
Kingfisher Bird;834;Kingfisher Bird-834;49.99;
Flowers in Watering Can;420;Flowers in Watering Can-420;29.99;
Mini Disney Palace of Agrabah;506;Mini Disney Palace of Agrabah-506;39.99;
Dragon Stone Shrine;1212;Dragon Stone Shrine-1212;119.99;
Tales of the Space Age;690;Tales of the Space Age-690;49.99;
Festival Calendar;345;Festival Calendar-345;29.94;
Christmas Tree;784;Christmas Tree-784;44.99;
Race Car and Car Carrier Truck;328;Race Car and Car Carrier Truck-328;29.99;
Bowser's Muscle Car Expansion Set;458;Bowser's Muscle Car Expansion Set-458;29.99;
Heartlake City Hospital Ambulance;344;Heartlake City Hospital Ambulance-344;34.99;
NEOM McLaren Extreme E Race Car;252;NEOM McLaren Extreme E Race Car-252;26.99;
Dream Village;435;Dream Village-435;29.99;
Drill Spinner Vehicle;58;Drill Spinner Vehicle-58;9.99;
John Deere 9700 Forage Harvester;559;John Deere 9700 Forage Harvester-559;39.99;
Mack LR Electric Garbage Truck;503;Mack LR Electric Garbage Truck-503;32.99;
Everyone Is Awesome;346;Everyone Is Awesome-346;34.99;
Spider-Man vs. Sandman: Final Battle;347;Spider-Man vs. Sandman: Final Battle-347;37.99;
Elsa & Bruni in the Enchanted Forest;31;Elsa & Bruni in the Enchanted Forest-31;29.99;
Space Explorer Rover and Alien Life;311;Space Explorer Rover and Alien Life-311;34.99;
The Turtle Beach House;234;The Turtle Beach House-234;26.99;
Mini Disney Ariel's Castle;557;Mini Disney Ariel's Castle-557;39.99;
Retro Roller Skate;342;Retro Roller Skate-342;29.99;
Elsa's Frozen Castle;163;Elsa's Frozen Castle-163;44.99;
Spice Girls Tribute;578;Spice Girls Tribute-578;49.99;
Pet Adoption Day;400;Pet Adoption Day-400;44.99;
Rocket's Warbird vs. Ronan;290;Rocket's Warbird vs. Ronan-290;37.99;
The Nether Portal Ambush;352;The Nether Portal Ambush-352;37.99;
